sample	rep	hour	file
mixed_7	1	0	mixed_7_barcode04.all_bc_counts.txt
mixed_7	2	0	mixed_7_barcode05.all_bc_counts.txt
mixed_7	3	0	mixed_7_barcode06.all_bc_counts.txt
mixed_7	1	24	mixed_7_barcode07.all_bc_counts.txt
mixed_7	2	24	mixed_7_barcode08.all_bc_counts.txt
mixed_7	3	24	mixed_7_barcode09.all_bc_counts.txt
mixed_7	1	48	mixed_7_barcode10.all_bc_counts.txt
mixed_7	2	48	mixed_7_barcode11.all_bc_counts.txt
mixed_7	3	48	mixed_7_barcode12.all_bc_counts.txt
mixed_2	1	0	mixed_2_barcode04.all_bc_counts.txt
mixed_2	2	0	mixed_2_barcode05.all_bc_counts.txt
mixed_2	3	0	mixed_2_barcode06.all_bc_counts.txt
mixed_2	1	24	mixed_2_barcode07.all_bc_counts.txt
mixed_2	2	24	mixed_2_barcode08.all_bc_counts.txt
mixed_2	3	24	mixed_2_barcode09.all_bc_counts.txt
mixed_2	1	48	mixed_2_barcode10.all_bc_counts.txt
mixed_2	2	48	mixed_2_barcode11.all_bc_counts.txt
mixed_2	3	48	mixed_2_barcode12.all_bc_counts.txt
